,ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
count,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0,998070.0
mean,-0.00390549207956604,0.004722510194896634,0.004780418286224755,-0.0056897225226057585,-0.006335507987821611,-0.0033328504336066875,0.006042970961573212,-0.0031940155662916287,-0.004395794658385673,0.0006091402994675155,-0.002207737720097702,-0.003934760020994146,50.732000761469635
std,0.9931267821870595,1.002423384369933,0.9978781812532175,1.0023301918879333,1.0012292943398169,0.9979065644381703,0.9989943206859262,0.997912147167027,0.9956862487536792,1.001049156843541,0.9995974867803097,0.9983427229067614,22.073125433038804
min,-8.573953999999999,-1.4293493,-1.6553733,-1.8614631999999998,-1.3715293,-3.3459527000000002,-3.2458737,-3.3416387999999997,-2.6319911,-1.8346876,-2.0661428,-2.0199726000000005,4.0
25%,-0.59938534,-1.0379249,-0.8263586750000002,-0.9273897999999999,-0.95189166,-0.26691731,-0.756296165,-0.25726893,-0.6723075475,-0.7472654000000001,-0.7619508,-0.72562176,32.0
50%,0.26615727,-0.17718683000000002,0.267542165,-0.09981788750000001,-0.14024577,-0.187246405,0.21393506,-0.19007564,0.09436716,-0.057225688,0.0050849725,0.0065364335,56.0
75%,0.6866752500000001,0.650708915,0.35849101499999997,0.8526253625000001,0.853583735,0.5471705375,1.013975,0.499260005,0.6806914074999999,0.6973442,0.7722392499999999,0.7256603800000001,68.0
max,2.9671166,2.6490324,2.2747342999999995,1.7934983,2.0241637,3.0169706,1.0609372,2.9141846,2.9174562,2.4491582000000003,2.3266682999999997,2.653781,81.0
